[2024-12-05T07:09:32.593+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.593+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.594+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.594+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.594+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.594+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.594+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.595+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.595+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.595+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.595+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.595+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.596+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.596+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.596+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.596+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.596+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.597+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.597+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
[2024-12-05T07:09:32.597+0000] {OBT_file_processing.py:103} WARNING - Unknown outlet: . Document skipped.
